imgName,x,y,z,q1,q2,q3,q4
000-20230310_195602,-51.331,1912.451,1216.27,0.67252,-0.4451,0.32633,0.49306
001-20230310_195618,575.822,2457.26,1318.707,0.28298,-0.41345,0.71418,0.48881
002-20230310_195627,-203.996,2591.685,1472.746,-0.44972,0.71953,-0.44874,-0.28047
003-20230310_195637,614.228,1892.362,1371.492,0.44798,-0.31114,0.47812,0.68841
004-20230310_195644,141.99,2300.013,1489.787,-0.48623,0.54514,-0.50966,-0.45458
005-20230310_195653,646.431,2070.174,1075.712,0.34446,-0.26816,0.55267,0.70993
006-20230310_195703,-281.731,2164.533,1490.135,0.61826,-0.59427,0.35646,0.37085
007-20230310_195712,578.496,2509.787,1678.323,0.34218,-0.45968,0.65738,0.48935
008-20230310_195723,324.05,1918.567,1095.673,0.54633,-0.33852,0.40352,0.65123
009-20230310_195732,-16.133,2299.999,1205.806,0.53095,-0.6303,0.43319,0.36491
010-20230310_195739,200.37,1849.802,1431.977,0.58439,-0.39788,0.39803,0.5846
011-20230310_195751,115.533,2617.86,1294.534,-0.34825,0.66664,-0.58413,-0.30514
012-20230310_195758,504.37,2185.659,1590.389,0.42357,-0.4175,0.56433,0.57255
013-20230310_195807,-243.057,2474.312,1666.549,0.50909,-0.66288,0.43543,0.3344
014-20230310_195815,348.786,2572.105,1483.002,0.34748,-0.53982,0.6447,0.41499
015-20230310_195824,287.246,2198.099,1174.841,0.46179,-0.46027,0.53526,0.53703
016-20230310_195831,-296.254,2024.581,1220.621,0.7016,-0.53944,0.28379,0.36909
017-20230310_195843,121.75,2613.616,1679.292,-0.40963,0.60795,-0.56405,-0.38005
018-20230310_195851,-289.201,2394.902,1277.613,0.53478,-0.72441,0.34998,0.25837
019-20230310_195900,555.102,2239.623,1360.979,0.36754,-0.38739,0.61335,0.58193
020-20230310_195908,-66.128,1885.054,1473.131,0.64332,-0.46021,0.35598,0.49761
021-20230310_195916,-15.856,2153.73,1560.065,0.56439,-0.53804,0.432,0.45316
022-20230310_195923,301.706,2094.997,1394.381,0.49808,-0.43794,0.49418,0.56206
023-20230310_195931,-217.017,1918.281,942.159,0.77862,-0.42149,0.2213,0.4088
024-20230310_195937,-133.083,2092.781,1065.153,0.67934,-0.54845,0.30626,0.37935
025-20230310_195946,311.905,2413.329,1624.698,0.41852,-0.518,0.58027,0.46883
026-20230310_195956,152.398,2022.646,1186.707,0.58281,-0.44106,0.41186,0.54422
027-20230310_200003,438.362,2069.173,1223.683,0.44966,-0.36855,0.51576,0.62926
028-20230310_200009,403.302,1847.496,1338.377,0.52576,-0.34312,0.4254,0.65183
029-20230310_200021,649.988,2590.642,1527.444,0.28309,-0.43895,0.71664,0.46218
030-20230310_200033,-289.77,1826.161,1457.494,0.70015,-0.47053,0.29954,0.44572
031-20230310_200042,681.926,2061.739,1522.919,0.39944,-0.34524,0.55534,0.64253
032-20230310_200051,-107.893,2317.237,1474.096,0.53873,-0.61778,0.43172,0.37648
033-20230310_200100,615.815,1907.499,934.623,0.41357,-0.21812,0.41238,0.78188
034-20230310_200110,691.371,2371.207,1495.332,0.31774,-0.38671,0.66891,0.54961
035-20230310_200120,549.602,1851.454,1142.727,0.47092,-0.27575,0.42342,0.72312
036-20230310_200127,154.553,1867.022,1002.769,0.64448,-0.34295,0.32104,0.60329
037-20230310_200138,50.621,2451.637,1386.231,-0.45072,0.63032,-0.51417,-0.36766
038-20230310_200144,338.992,2321.473,1388.624,0.41524,-0.48638,0.58468,0.49916
039-20230310_200151,449.711,2006.5,1535.955,0.47711,-0.391,0.49889,0.60877
040-20230310_200159,-100.311,2063.208,1346.727,0.62885,-0.52735,0.36713,0.4378
041-20230310_200207,699.31,2107.623,1350.053,0.36131,-0.32046,0.58103,0.65511
042-20230310_200216,54.446,2033.93,1018,0.64709,-0.45749,0.35209,0.498
043-20230310_200226,358.749,2601.919,1334.248,0.30227,-0.54279,0.68459,0.38124
044-20230310_200233,-153.322,2631.016,1336.149,-0.40258,0.7531,-0.4589,-0.24531
045-20230310_200240,-72.53,2518.892,1592.092,-0.46576,0.64923,-0.48858,-0.35051
046-20230310_200248,536.84,2246.346,1153.769,0.32562,-0.35471,0.64565,0.5927
047-20230310_200257,-229.539,1860.196,1278.39,0.71325,-0.45828,0.28668,0.44618
048-20230310_200304,198.983,1851.465,1259.444,0.59868,-0.37704,0.3766,0.59799
049-20230310_200313,201.69,2149.269,1549.563,0.51261,-0.48617,0.48702,0.5135
