imgName,x,y,z,q1,q2,q3,q4
000-20230127_161259,1552.623,-162.304,945.08,0.83644,0.10028,0.53635,0.05139
001-20230127_161309,1556.627,-318.903,928.199,0.77609,0.28286,0.56296,0.02734
002-20230127_161315,1609.963,137.585,882.622,0.81201,-0.18882,0.55146,0.02945
003-20230127_161320,1602.047,145.25,1020.188,0.81775,0.01429,0.56314,-0.11817
004-20230127_161324,1617.203,316.183,962.518,0.81259,0.03635,0.5321,-0.23503
005-20230127_161331,1596.146,-261.095,1065.198,0.80532,0.00536,0.56896,0.16646
006-20230127_161336,1707.756,-342.925,867.36,0.76805,0.13229,0.6036,0.16815
007-20230127_161342,1650.415,-52.541,1048.649,0.77463,0.18405,0.59767,-0.09415
008-20230127_161347,1731.426,182.095,917.578,0.7848,0.03845,0.5949,-0.16941
009-20230127_161351,1737.037,-79.897,925.895,0.73749,0.22804,0.62422,-0.12023
010-20230127_161357,1724.068,-272.479,959.402,0.78258,-0.01488,0.58696,0.20696
011-20230127_161402,1737.809,32.658,989.645,0.76145,-0.08085,0.64092,0.05373
012-20230127_161407,1705.36,-152.185,1051.441,0.77479,-0.13232,0.58282,0.2062
013-20230127_161411,1827.803,54.621,866.35,0.72104,-0.19525,0.65491,0.11431
014-20230127_161417,1843.186,-155.561,913.053,0.70578,0.16401,0.68911,-0.01007
015-20230127_161422,1840.873,318.585,875.266,0.68206,-0.25965,0.6811,-0.05903
016-20230127_161427,1864.829,184.708,872.911,0.72739,0.07375,0.64077,-0.23426
017-20230127_161431,1814.215,224.111,1001.18,0.74063,0.09159,0.61371,-0.25778
018-20230127_161437,1863.951,-302.781,901.652,0.72729,0.07489,0.65054,0.20553
019-20230127_161442,1868.52,-25.592,947.351,0.73001,-0.00499,0.68239,0.03754
020-20230127_161447,1859.393,85.804,1008.251,0.70835,0.11532,0.67444,-0.17342
021-20230127_161453,1817.702,-344.919,1054.77,0.72148,0.18472,0.66393,0.06747
022-20230127_161457,1862.891,-171.067,1063.341,0.72655,-0.0178,0.6682,0.15912
023-20230127_161503,1845.225,342.702,1052.654,0.71719,-0.03581,0.6635,-0.21006
024-20230127_161510,1956.209,-230.186,904.969,0.67773,0.0131,0.71009,0.19046
025-20230127_161515,1963.561,99.948,917.691,0.65609,-0.16713,0.73281,0.06793
026-20230127_161520,1971.592,254.195,878.051,0.67258,0.04482,0.67662,-0.29635
027-20230127_161526,1979.208,-127.146,946.869,0.6639,0.08924,0.7413,0.04174
028-20230127_161531,1926.501,205.222,1059.798,0.67362,-0.14499,0.72471,0.00231
029-20230127_161536,1972.92,-8.694,996.361,0.65562,0.14651,0.72632,-0.14547
030-20230127_161540,1968.867,-345.656,978.002,0.64393,0.2389,0.72658,0.01911
031-20230127_161612,2080.223,-75.444,915.908,0.58883,0.18941,0.76948,-0.15905
032-20230127_161618,2079.711,298.262,873.716,0.59361,-0.15348,0.78016,-0.1242
033-20230127_161622,2025.712,278.623,1013.884,0.6573,0.06066,0.68879,-0.29974
034-20230127_161629,2020.955,-251.995,1062.86,0.65062,-0.04487,0.71143,0.26181
035-20230127_161634,2081.926,-284.125,937.979,0.59982,0.19463,0.77462,0.04792
036-20230127_161639,2064.41,93.217,1030.746,0.63603,-0.11373,0.76213,0.04111
037-20230127_161645,2148.344,6.647,871.332,0.56667,0.12694,0.78998,-0.19675
038-20230127_161651,2079.911,-107.304,1042.836,0.6306,-0.07802,0.74522,0.20223
039-20230127_161656,2148.425,-164.446,902.259,0.57878,0.0934,0.8068,0.07317
040-20230127_161701,2163.075,207.301,910.045,0.58474,-0.08361,0.79771,-0.12145
041-20230127_161705,2173.475,25.504,967.069,0.57177,-0.01385,0.82009,-0.01825
