imgName,x,y,z,q1,q2,q3,q4
img_2022_05_09_15_06_17,-156.281,1921.86,-81.2069,-0.53005,0.591454,-0.414596,-0.44423
img_2022_05_09_15_06_27,-89.2607,1910.74,-50.0699,-0.519917,0.558188,-0.449367,-0.464953
img_2022_05_09_15_06_33,0,1905.83,-36.3123,-0.49389,0.506036,-0.503437,-0.49654
img_2022_05_09_15_06_39,89.2607,1910.74,-50.0699,0.462598,-0.45179,0.555464,0.522827
img_2022_05_09_15_06_45,156.281,1921.86,-81.2069,0.442073,-0.416894,0.588696,0.53311
img_2022_05_09_15_06_51,161.055,1959.74,-74.5226,0.441358,-0.413629,0.589213,0.53567
img_2022_05_09_15_06_56,92.8701,1953.56,-39.9636,0.46321,-0.44921,0.554974,0.525024
img_2022_05_09_15_07_02,0,1950.78,-24.3603,-0.495578,0.504383,-0.501835,-0.498158
img_2022_05_09_15_07_09,-92.8701,1953.56,-39.9636,-0.522181,0.55765,-0.446837,-0.4655
img_2022_05_09_15_07_14,-161.055,1959.74,-74.5226,-0.53267,0.591926,-0.411382,-0.443453
img_2022_05_09_15_07_20,-162.747,2000,-72.1546,-0.533078,0.590868,-0.411706,-0.444073
img_2022_05_09_15_07_26,-94.1742,2000,-36.3123,-0.522586,0.556559,-0.446901,-0.46629
img_2022_05_09_15_07_33,0,2000,-20,-0.496236,0.503736,-0.501246,-0.498751
img_2022_05_09_15_07_39,94.1742,2000,-36.3123,0.464051,-0.449225,0.553941,0.52536
img_2022_05_09_15_07_45,162.747,2000,-72.1546,0.442018,-0.413912,0.588206,0.536013
img_2022_05_09_15_07_50,161.055,2040.26,-74.5226,0.443889,-0.417582,0.585832,0.534217
img_2022_05_09_15_07_56,92.8701,2046.44,-39.9636,0.464994,-0.451764,0.552514,0.523849
img_2022_05_09_15_08_02,0,2049.22,-24.3603,-0.49579,0.504175,-0.501748,-0.498246
img_2022_05_09_15_08_09,-92.8701,2046.44,-39.9636,-0.52115,0.555061,-0.449493,-0.467191
img_2022_05_09_15_08_14,-161.055,2040.26,-74.5226,-0.531348,0.588436,-0.415408,-0.445924
img_2022_05_09_15_08_20,-156.281,2078.14,-81.2069,-0.527674,0.584736,-0.42205,-0.448908
img_2022_05_09_15_08_26,-89.2607,2089.26,-50.0699,-0.518111,0.553193,-0.454203,-0.468229
img_2022_05_09_15_08_32,0,2094.17,-36.3123,-0.494442,0.505497,-0.50313,-0.496851
img_2022_05_09_15_08_39,89.2607,2089.26,-50.0699,0.466056,-0.456433,0.550713,0.520746
img_2022_05_09_15_08_45,156.281,2078.14,-81.2069,0.44688,-0.424197,0.5822,0.530471
img_2022_05_09_15_08_50,163.697,2081.85,-52.3756,0.451045,-0.420416,0.578979,0.533472
img_2022_05_09_15_08_56,93.8612,2093.86,-20.7839,0.469965,-0.452749,0.54738,0.523952
img_2022_05_09_15_09_02,0,2099.13,-6.72459,-0.498005,0.501987,-0.499611,-0.500389
img_2022_05_09_15_09_09,-93.8612,2093.86,-20.7839,-0.521333,0.549875,-0.450501,-0.472121
img_2022_05_09_15_09_15,-163.697,2081.85,-52.3756,-0.530695,0.581524,-0.418254,-0.453052
img_2022_05_09_15_09_20,-168.88,2042.22,-45.6271,-0.534388,0.585174,-0.41149,-0.450196
img_2022_05_09_15_09_26,-97.7341,2048.87,-10.4606,-0.524431,0.551654,-0.44566,-0.471209
img_2022_05_09_15_09_32,0,2051.85,5.52456,0.499454,-0.500545,0.498108,0.501885
img_2022_05_09_15_09_39,97.7341,2048.87,-10.4606,0.469031,-0.447951,0.549092,0.527113
img_2022_05_09_15_09_45,168.88,2042.22,-45.6271,0.448184,-0.413681,0.58256,0.537236
img_2022_05_09_15_09_50,170.712,2000,-43.2314,0.446422,-0.409915,0.584871,0.539076
img_2022_05_09_15_09_56,99.1308,2000,-6.72459,0.468209,-0.445296,0.550431,0.528694
img_2022_05_09_15_10_03,0,2000,10,0.5,-0.5,0.497491,0.502496
img_2022_05_09_15_10_09,-99.1308,2000,-6.72459,-0.525937,0.553066,-0.442952,-0.470427
img_2022_05_09_15_10_16,-170.712,2000,-43.2314,-0.536158,0.587547,-0.407688,-0.448457
img_2022_05_09_15_10_21,-168.88,1957.78,-45.6271,-0.535796,0.588556,-0.407293,-0.447926
img_2022_05_09_15_10_27,-97.7341,1951.13,-10.4606,-0.525597,0.554095,-0.442813,-0.469726
img_2022_05_09_15_10_33,0,1948.15,5.52456,0.499427,-0.500572,0.498005,0.501987
img_2022_05_09_15_10_39,97.7341,1951.13,-10.4606,0.467454,-0.445212,0.551398,0.528426
img_2022_05_09_15_10_45,168.88,1957.78,-45.6271,0.445845,-0.409569,0.585819,0.538787
img_2022_05_09_15_10_52,163.697,1918.15,-52.3756,0.446615,-0.4128,0.585252,0.536294
img_2022_05_09_15_10_57,93.8612,1906.14,-20.7839,0.466901,-0.447757,0.551845,0.526293
img_2022_05_09_15_11_03,0,1900.87,-6.72459,-0.497794,0.502196,-0.499569,-0.500431
img_2022_05_09_15_11_09,-93.8612,1906.14,-20.7839,-0.523394,0.554595,-0.445304,-0.469241
